"(Intercept)","DOY","glacier_len_norm","noise_4kHz","runoff_racmo","site","temp_deep","temp_shallow","velocity","year","DOY:runoff_racmo","DOY:temp_deep","DOY:temp_shallow","df","logLik","AICc","delta","weight"
50.9617454631507,-0.0551324115674454,NA,NA,-0.0115900623585476,"+",1.70950232685926,0.566436533970172,-0.0127119436582609,NA,NA,NA,NA,8,-177.913831070607,372.221104764165,4.13610770796276,0.00355343468242266
24.1433667876468,-0.0724378073343825,NA,0.0493374832751769,-0.00737315045230869,"+",-19.0978480956821,NA,-0.00417305803500851,"+",NA,0.0832459715557875,NA,10,-175.821250578504,372.246896761404,4.16189970520156,0.00350790380771869
48.5699935516132,-0.0566000110703261,1.21850048396458,NA,-0.0119925944935676,"+",NA,1.20057953536881,-0.011370417337873,NA,NA,NA,NA,8,-177.932260548367,372.257963719685,4.17296666348329,0.00348854650118886
22.1333730295233,-0.0901852313502075,1.59245111304588,NA,-0.00775678175482517,"+",-30.6085798483129,0.890961190746987,NA,"+",NA,0.123209057487077,NA,10,-175.847963280721,372.300322165838,4.21532510963596,0.00341543871245672
9.62803199086129,-0.0416987422021554,0.309958318014577,NA,-0.0086661094911353,"+",NA,NA,NA,"+",NA,NA,NA,7,-179.027904042266,372.360985196249,4.27598814004688,0.00331339861949294
54.9625844982162,-0.0525438898919599,1.24648047022087,0.0521256643495744,-0.0112511472188222,"+",2.60480940387391,NA,-0.0160583831475266,NA,NA,NA,NA,9,-176.938074951463,372.369300587857,4.28430353165498,0.00329965111473072
36.2455833178094,-0.0502969401770107,NA,0.0372022705217413,-0.0103874090318096,"+",NA,0.982515618800021,-0.00914330827197972,NA,NA,NA,NA,8,-177.99178883785,372.377020298651,4.29202324244875,0.00328693948687239
11.7022241039226,-0.082801398843168,NA,0.0753819944592239,0.0514459457477486,NA,-29.7802869282322,NA,0.000129987430245253,"+",-0.000250496212536375,0.119959629230947,NA,9,-176.946145158977,372.385441002885,4.30044394668306,0.00327312940729478
2.58434889602195,-0.0335356726482957,0.597327604596936,0.0365125486702142,-0.0110130261645105,"+",2.73796214937805,NA,NA,"+",NA,NA,NA,9,-176.948422929637,372.389996544205,4.30499948800286,0.0032656824536108
9.53289064238094,-0.0415919212325299,NA,NA,-0.0133629182327088,"+",NA,NA,NA,"+",2.16913493206598e-05,NA,NA,7,-179.058418387401,372.422013886519,4.33701683031745,0.00321381945356874
53.1543010451039,-0.0576287518440821,0.882643141136938,NA,-0.00901909738193633,"+",NA,NA,-0.0129306005788116,NA,NA,NA,NA,7,-179.087522404075,372.480221919867,4.39522486366451,0.00312163241231245
12.6139315950078,-0.0744987519931546,NA,0.0476082425789293,-0.00684276202145018,"+",-23.5267329066464,0.348670131966728,NA,"+",NA,0.0981002357602248,NA,10,-175.940111840977,372.48461928635,4.3996222301484,0.0031147764712233
51.4245165033378,-0.0741667938235133,NA,0.0585873121918934,-0.00771246522711726,"+",-13.3217545452746,NA,-0.0132263539589233,NA,NA,0.059627154403094,NA,9,-176.996605532167,372.486361749266,4.40136469306429,0.00311206396176045
27.6091431825622,-0.0444366130255017,NA,NA,-0.00607400004971653,"+",2.80335884019318,NA,-0.00620276046101843,"+",-2.43282708326223e-05,NA,NA,9,-177.002502741414,372.49815616776,4.41315911155766,0.00309376547741505
27.4167239676599,-0.0442227157017725,NA,NA,-0.0114512181472823,"+",2.82404199405176,-0.0243163598109676,-0.00616466349025746,"+",NA,NA,NA,9,-177.006267338102,372.505685361135,4.42068830493264,0.00308214059337604
27.0613861082028,-0.0485156000450979,NA,NA,-0.0108392367738658,"+",NA,0.949772632607367,-0.00509227813893319,"+",NA,NA,NA,8,-178.061277271589,372.515997166128,4.43100010992606,0.0030662902734603
17.9432458245801,-0.101147593972024,NA,0.0642357628677901,-0.00693574046407362,NA,-32.2249799425314,11.7933305518384,NA,"+",NA,0.127588803793388,-0.0472550358859289,9,-177.021674038894,372.53649876272,4.45150170651772,0.00303501890243852
56.3332347621413,-0.0560212111889515,NA,NA,-0.00766515357735675,"+",2.34139505608833,NA,-0.0145676638446602,NA,-1.4613990663102e-05,NA,NA,8,-178.085706623183,372.564855869316,4.47985881311416,0.00299229035547192
2.48410953661142,-0.0336970338477185,NA,0.0370369972896823,-0.000420799594739644,"+",2.67889989600291,NA,NA,"+",-4.59955653796907e-05,NA,NA,9,-177.043746572716,372.580643830364,4.49564677416237,0.00296876226102221
2.41428146505222,-0.0333637623288941,NA,0.0361392789113656,-0.010563937141951,"+",2.75630431636114,-0.0780784621926308,NA,"+",NA,NA,NA,9,-177.055228650508,372.603607985948,4.51861092974599,0.00293486965293769
12.5858741744105,-0.0866660696410238,NA,0.0767540745688393,NA,NA,-35.8298232189537,-0.318932709356776,0.000127089925451317,"+",NA,0.142370867946695,NA,8,-178.105385868036,372.604214359023,4.51921730282106,0.00293397997484552
